date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:12	109025/109025	---M--	200	added ('OK')	image/svg+xml	etag:%221a9e1-6359263a469c3%22	https://jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.svg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/fonts/glyphicons-halflings-regular.svg	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:12	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-6359263a38f03%22	https://jbnutricionista.site.pro/css/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/fontawesome-webfont3e6e.eot	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:12	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-6359263a38f03%22	https://jbnutricionista.site.pro/css/fonts/fontawesome-webfont.eot?	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/fontawesome-webfontd41d.eot	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:13	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-6359263a3ae43%22	https://jbnutricionista.site.pro/css/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/fontawesome-webfont3e6e.woff2	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:13	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-6359263a39ea3%22	https://jbnutricionista.site.pro/css/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/fontawesome-webfont3e6e.woff	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:14	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22286ac-6359263a3ae43%22	https://jbnutricionista.site.pro/css/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/fontawesome-webfont3e6e.ttf	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:14	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%226d24a-6359263a3bde3%22	https://jbnutricionista.site.pro/css/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/fontawesome-webfont3e6e.svg	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:14	107/107	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2019:33:15%20GMT	https://jbnutricionista.site.pro/img/icon-logo.svg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/img/icon-logo.10.delayed	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:14	107/107	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2019:33:15%20GMT	https://jbnutricionista.site.pro/img/icon-logo-red.svg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/img/icon-logo-red.11.delayed	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:15	107/107	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2019:33:15%20GMT	https://jbnutricionista.site.pro/img/flags_matrix.png	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/img/flags_matrix.12.delayed	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:15	77168/77168	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212d70-6359263a38f03%22	https://jbnutricionista.site.pro/css/fonts/builder-ui-icons-plugins.eot?3i5hxk	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/builder-ui-icons-pluginsfd9c.eot	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:16	77004/77004	---M--	200	added ('OK')	font/ttf	etag:%2212ccc-6359263a3ae43%22	https://jbnutricionista.site.pro/css/fonts/builder-ui-icons-plugins.ttf?3i5hxk	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/builder-ui-icons-pluginsfd9c.ttf	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:16	77080/77080	---M--	200	added ('OK')	font/woff	etag:%2212d18-6359263a38f03%22	https://jbnutricionista.site.pro/css/fonts/builder-ui-icons-plugins.woff?3i5hxk	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/builder-ui-icons-pluginsfd9c.woff	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:17	303441/303441	---M--	200	added ('OK')	image/svg+xml	etag:%224a151-6359263a3ae43%22	https://jbnutricionista.site.pro/css/fonts/builder-ui-icons-plugins.svg?3i5hxk	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/fonts/builder-ui-icons-pluginsfd9c.svg	(from https://jbnutricionista.site.pro/css/common-bundle.css?ts=20250521193403)
16:33:17	340596/340596	---M--	200	added ('OK')	image/png	etag:%2253274-6359263a3dd23%22	https://jbnutricionista.site.pro/gallery_gen/98a337f09ab47870ea77132b7c14419d_fit.png	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/98a337f09ab47870ea77132b7c14419d_fit.png	(from https://jbnutricionista.site.pro/css/a188dd9af9fa009e3c469ea67dd41f50-bundle.css?ts=20250521193403)
16:33:18	368841/368841	---M--	200	added ('OK')	image/png	etag:%225a0c9-6359263a3ecc3%22	https://jbnutricionista.site.pro/gallery_gen/cf95d451299a1fbb8ad8339ebdc686b0_fit.png	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/cf95d451299a1fbb8ad8339ebdc686b0_fit.png	(from https://jbnutricionista.site.pro/css/a188dd9af9fa009e3c469ea67dd41f50-bundle.css?ts=20250521193403)
16:33:18	134066/134066	---M-Z	200	added ('OK')	application/javascript	etag:%2220bb2-635a7eefce5b3-gzip%22	https://jbnutricionista.site.pro/js/a189b11f6a02006eaf6dc685aaca60fc-bundle.js?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/js/a189b11f6a02006eaf6dc685aaca60fc-bundlef5f6.js	(from https://jbnutricionista.site.pro/Blogue/)
16:33:19	2606094/2606094	---M--	200	added ('OK')	image/jpeg	etag:%2227c40e-6359263a41ba3%22	https://jbnutricionista.site.pro/gallery_gen/fdff1ad068ef8868f5e3628934f49de5_fit.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/fdff1ad068ef8868f5e3628934f49de5_fit.jpg	(from https://jbnutricionista.site.pro/css/a188dd9af9fa009e3c469ea67dd41f50-bundle.css?ts=20250521193403)
16:33:19	40238/40238	---M-Z	200	added ('OK')	text/css	etag:%229d2e-635a7eefd4373-gzip%22	https://jbnutricionista.site.pro/css/a189b11f6a02006eaf6dc685aaca60fc-bundle.css?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/a189b11f6a02006eaf6dc685aaca60fc-bundlef5f6.css	(from https://jbnutricionista.site.pro/Blogue/)
16:33:19	6896/6896	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2021%20May%202025%2019:33:20%20GMT	https://jbnutricionista.site.pro/Blogue/Vida-saud%c3%a1vel/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/Vida-saud%c3%a1vel/index.html	(from https://jbnutricionista.site.pro/Blogue/)
16:33:19	276204/276204	---M--	200	added ('OK')	image/jpeg	etag:%22436ec-6359263a4a843%22	https://jbnutricionista.site.pro/gallery/950e072683fd14157adda4cb59458ca9.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery/950e072683fd14157adda4cb59458ca9.jpg	(from https://jbnutricionista.site.pro/Blogue/)
16:33:19	6209/6209	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2021%20May%202025%2019:33:20%20GMT	https://jbnutricionista.site.pro/Blogue/A-Import%c3%a2ncia-da-Hidrata%c3%a7%c3%a3o-na-Nutri%c3%a7%c3%a3o/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/A-Import%c3%a2ncia-da-Hidrata%c3%a7%c3%a3o-na-Nutri%c3%a7%c3%a3o/index.html	(from https://jbnutricionista.site.pro/Blogue/)
16:33:20	192499/192499	---M--	200	added ('OK')	image/jpeg	etag:%222eff3-6359263a60003%22	https://jbnutricionista.site.pro/gallery/8189bd2da0d2e75c97969c92690db425.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery/8189bd2da0d2e75c97969c92690db425.jpg	(from https://jbnutricionista.site.pro/Blogue/)
16:33:20	6662/6662	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2021%20May%202025%2019:33:21%20GMT	https://jbnutricionista.site.pro/Blogue/Os-Benef%c3%adcios-de-um-Plano-Alimentar-Personalizado/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/Os-Benef%c3%adcios-de-um-Plano-Alimentar-Personalizado/index.html	(from https://jbnutricionista.site.pro/Blogue/)
16:33:20	31961/31961	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:21%20GMT	https://jbnutricionista.site.pro/Blogue/?bpage=1&bcpp=3	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/index0024.html	(from https://jbnutricionista.site.pro/Blogue/)
16:33:21	31279/31279	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:21%20GMT	https://jbnutricionista.site.pro/Blogue/?bpage=2&bcpp=3	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/index5cef.html	(from https://jbnutricionista.site.pro/Blogue/)
16:33:21	1092169/1092169	---M--	200	added ('OK')	image/jpeg	etag:%2210aa49-6359263a5d123%22	https://jbnutricionista.site.pro/gallery/smiling-sporty-couple-isolated-white-background.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery/smiling-sporty-couple-isolated-white-background.jpg	(from https://jbnutricionista.site.pro/Blogue/)
16:33:21	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-635a7eefcf553%22	https://jbnutricionista.site.pro/js/a188dd9af9fa02c3bcada662bd503381-bundle.js?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/js/a188dd9af9fa02c3bcada662bd503381-bundle.1ff5f6.delayed	(from https://jbnutricionista.site.pro/Contate-nos/)
16:33:21	50910/50910	---M-Z	200	added ('OK')	text/css	etag:%22c6de-635a7eefd4373-gzip%22	https://jbnutricionista.site.pro/css/a188dd9af9fa02c3bcada662bd503381-bundle.css?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/a188dd9af9fa02c3bcada662bd503381-bundlef5f6.css	(from https://jbnutricionista.site.pro/Contate-nos/)
16:33:22	20469/20469	---MCZ	200	added ('OK')	application/javascript	etag:W/%22642abc84-4ff5%22	https://telegram.org/js/telegram-widget.js?21	C:/Meus%20Sites/jbnutricionista.site.pro/telegram.org/js/telegram-widget3c59.js	(from https://jbnutricionista.site.pro/Contate-nos/)
16:33:22	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-635a7eefce5b3%22	https://jbnutricionista.site.pro/js/a188dd9af9fa01b115e7d192d3ccab26-bundle.js?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/js/a188dd9af9fa01b115e7d192d3ccab26-bundle.22f5f6.delayed	(from https://jbnutricionista.site.pro/Sobre/)
16:33:23	39359/39359	---M-Z	200	added ('OK')	text/css	etag:%2299bf-635a7eefd33d3-gzip%22	https://jbnutricionista.site.pro/css/a188dd9af9fa01b115e7d192d3ccab26-bundle.css?ts=20250521193403	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/css/a188dd9af9fa01b115e7d192d3ccab26-bundlef5f6.css	(from https://jbnutricionista.site.pro/Sobre/)
16:33:24	29225/29225	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:24%20GMT	https://jbnutricionista.site.pro/Blogue/Desmistificando-Dietas-O-Que-Funciona-Realmente/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/Desmistificando-Dietas-O-Que-Funciona-Realmente/index.html	(from https://jbnutricionista.site.pro/Blogue/?bpage=2&bcpp=3)
16:33:24	6539/6539	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Wed,%2021%20May%202025%2019:33:25%20GMT	https://jbnutricionista.site.pro/Blogue/Dicas-Pr%c3%a1ticas-para-Montar-um-Prato-Saud%c3%a1vel/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/Dicas-Pr%c3%a1ticas-para-Montar-um-Prato-Saud%c3%a1vel/index.html	(from https://jbnutricionista.site.pro/Blogue/?bpage=2&bcpp=3)
16:33:24	455362/455362	---M--	200	added ('OK')	image/jpeg	etag:%226f2c2-6359263a4a843%22	https://jbnutricionista.site.pro/gallery/f75146a2114414da8029b35949f64b61.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery/f75146a2114414da8029b35949f64b61.jpg	(from https://jbnutricionista.site.pro/Blogue/?bpage=2&bcpp=3)
16:33:24	269379/269379	---M--	200	added ('OK')	image/jpeg	etag:%2241c43-6359263a4b7e3%22	https://jbnutricionista.site.pro/gallery/a17fb498618cd226b9d4fd8dea63e64e.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery/a17fb498618cd226b9d4fd8dea63e64e.jpg	(from https://jbnutricionista.site.pro/Blogue/?bpage=2&bcpp=3)
16:33:25	30359/30359	---M--	200	added ('OK')	image/png	etag:%227697-6359263a40c03%22	https://jbnutricionista.site.pro/gallery_gen/fbb90b4003c7fc20daada2b4e00e4489_510x340_fit.png	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/fbb90b4003c7fc20daada2b4e00e4489_510x340_fit.png	(from https://jbnutricionista.site.pro/css/a188dd9af9fa01b115e7d192d3ccab26-bundle.css?ts=20250521193403)
16:33:25	28482/28482	---M--	200	added ('OK')	image/jpeg	etag:%226f42-6359263a3fc63%22	https://jbnutricionista.site.pro/gallery_gen/409845606b57a233ed240e85f3fb3073_510x326_fit.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/409845606b57a233ed240e85f3fb3073_510x326_fit.jpg	(from https://jbnutricionista.site.pro/css/a188dd9af9fa01b115e7d192d3ccab26-bundle.css?ts=20250521193403)
16:33:26	77017/77017	---M--	200	added ('OK')	image/jpeg	etag:%2212cd9-6359263a3ecc3%22	https://jbnutricionista.site.pro/gallery_gen/94bac97655bc88ac918d82e2cc96e297_510x340_fit.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/94bac97655bc88ac918d82e2cc96e297_510x340_fit.jpg	(from https://jbnutricionista.site.pro/css/a188dd9af9fa01b115e7d192d3ccab26-bundle.css?ts=20250521193403)
16:33:26	455362/455362	---M--	200	added ('OK')	image/jpeg	etag:%226f2c2-6359263a3fc63%22	https://jbnutricionista.site.pro/gallery_gen/8c2a7714493891f5c0f5944254bd9196_fit.jpg	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/gallery_gen/8c2a7714493891f5c0f5944254bd9196_fit.jpg	(from https://jbnutricionista.site.pro/Blogue/Desmistificando-Dietas-O-Que-Funciona-Realmente/)
16:33:26	30756/30756	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2019:33:26%20GMT	https://jbnutricionista.site.pro/Blogue/Dicas/	C:/Meus%20Sites/jbnutricionista.site.pro/jbnutricionista.site.pro/Blogue/Dicas/index.html	(from https://jbnutricionista.site.pro/Blogue/Desmistificando-Dietas-O-Que-Funciona-Realmente/)
16:33:26	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%228d3c652269f71e6cd601047267e3a4e9%22	https://connect.facebook.net/pt_BR/sdk.js	C:/Meus%20Sites/jbnutricionista.site.pro/connect.facebook.net/pt_BR/sdk.js	(from https://jbnutricionista.site.pro/Blogue/Desmistificando-Dietas-O-Que-Funciona-Realmente/)
